DEPTO,DISCIPLINA,CURSO,DOCENTE(S) RESPONSÁVEL(IS),DATA DE SAÍDA DA SEDE,HORÁRIO DE SAÍDA DA SEDE,DATA DE CHEGADA NA SEDE,HORÁRIO DE CHEGADA NA SEDE,VEÍCULO (S),CIDADE E ESTADO DA ATIVIDADE FORA DA SEDE,LOCAL DA REALIZAÇÃO DA ATIVIDADE FORA DA SEDE,NÚMERO DE DOCENTES,NÚMERO DE ALUNOS,NÚMERO DE TÉCNICOS-ADMINISTRATIVOS,CAMPO ESTÁ NO PLANO DE ENSINO?,SEMESTRE,"D = DIÁRIAS, V = VEÍCULO A = DIÁRIAS DOS ALUNOS",É sabado?,Situação
,Viagem preparatória do PET para campo com os alunos ingressantes,PET Geologia,Rosemarie Rohn,24/02,08:00,24/02,18:00,van,A definir,Ipeúna/SP,1,35,0,Sim,1º,V#244563,0,OK
GEOLOGIA,Geologia Geral I,"Geologia - 1º ano",Rosemarie Rohn,09/03,07:30,09/03,13:00,ônibus,Região de Rio Claro e Ipeúna/SP,Região de Rio Claro e Ipeúna/SP,1,35,0,Sim,1º,"V#247892, D#294462",0,OK
,Aula fora da sede com alunos ingressantes,Geologia - 1º ano +  PET Geologia,Rosemarie Rohn,18/03,07:30,18/03,18:00,ônibus,"a definir, provavelmente Itirapina",Ipeúna/SP,2,42,0,Sim,1º,"V#247032, D#295261",0,OK
GEOLOGIA,Mapeamento Geológico de Áreas Sedimentares,"Geologia - 4º ano","José Eduardo Zaine, Lucas Veríssimo Warren, Norberto Morales, Matheus Lisboa Nobre da Silva",26/03,07:00,26/03,18:00,ônibus,Ipeúna e Piracicaba/SP,Ipeúna e Piracicaba/SP,2,32,0,Sim,1º,"V#247036, D#296616(JZ), D#296615(LW), D#296617(ML)",0,OK
GEOLOGIA,Grupo PET Geologia - Trabalho de campo com os ingressantes,"Geologia - 1º ano + PET",Rosemarie Rohn,30/03,07:30,30/03,18:00,micro-ônibus e van,Ipeúna e Charqueada/SP,Ipeúna e Charqueada/SP,1,35,0,Sim,1º,"V#247120, D#296619",0,OK
GEOLOGIA,Sedimentologia,"Geologia - 2º ano",Lucas Veríssimo Warren,02/04,08:00,02/04,17:00,ônibus,Ipeúna/SP,Ipeúna/SP,1,35,0,Sim,1º,V#247062,0,
GEOLOGIA,Mapeamento Geológico de Áreas Sedimentares,"Geologia - 4º ano","Lucas Veríssimo Warren, Giancarlo Scardia, José Eduardo Zaine, Matheus Lisboa Nobre da Silva, Norberto Morales",06/04,07:00,06/04,18:00,3 kombis e 2 vans,Ipeúna e Piracicaba/SP,Ipeúna e Piracicaba/SP,4,32,0,Sim,1º,V#247042,0,
GEOLOGIA,Mapeamento Geológico de Áreas Sedimentares,"Geologia - 4º ano","Matheus Lisboa Nobre da Silva, Lucas Veríssimo Warren, Cesar Augusto Moreira, Norberto Morales, Sergio Caetano Filho",07/04,07:00,07/04,18:00,3 kombis e 2 vans,Ipeúna e Piracicaba/SP,Ipeúna e Piracicaba/SP,4,32,0,Sim,1º,V#247043,0,
GEOLOGIA,Mapeamento Geológico de Áreas Sedimentares,"Geologia - 4º ano","Norberto Morales, José Alexandre de Jesus Perinotto, Matheus Lisboa Nobre da Silva, Giancarlo Scardia, Reinaldo Jose Bertini",08/04,07:00,08/04,18:00,3 kombis e 2 vans,Ipeúna e Piracicaba/SP,Ipeúna e Piracicaba/SP,4,32,0,Sim,1º,V#247046,0,
GEOLOGIA,Mapeamento Geológico de Áreas Sedimentares,"Geologia - 4º ano","José Eduardo Zaine, Matheus Lisboa Nobre da Silva, Rosemarie Rohn, José Alexandre de Jesus Perinotto,  Cesar Augusto Moreira",09/04,07:00,09/04,18:00,3 kombis e 2 vans,Ipeúna e Piracicaba/SP,Ipeúna e Piracicaba/SP,4,32,0,Sim,1º,V#247048,0,
GEOLOGIA,Grupo PET Geologia - Pequisa coletiva,Geologia - diversos anos,Rosemarie Rohn,11/04,07:30,11/04,18:00,micro-ônibus ou van,a definir,Região de Rio Claro e Ipeúna/SP,1,20,0,Sim,1º,V#253416,1,
GEOLOGIA,Evolução de Biotas e Ambientes Continentais,Pós-Graduação em Geociências e Meio Ambiente,Reinaldo Jose Bertini,11/04,06:30,12/04,19:00,Van,"Brotas, Flórida Paulista, Marília/SP","Brotas, Flórida Paulista, Marília/SP",1,5,0,Sim,1º,,1,
GEOLOGIA,Petrologia Magmática,"Geologia - 2º ano","Antonio Misson Godoy, Regiane Andrade Fumes",14/04,06:30,14/04,18:30,ônibus,Limeira e Atibaia/SP,Limeira e Atibaia/SP,2,35,0,Sim,1º,V#253395,0,
GEOLOGIA,Mapeamento Geológico de Áreas Sedimentares,"Geologia - 4º ano","Sergio Caetano Filho, José Alexandre de Jesus Perinotto, Giancarlo Scardia, José Eduardo Zaine, Cesar Augusto Moreira",23/04,07:00,23/04,18:00,1 kombi e 1 van,Ipeúna e Piracicaba/SP,Ipeúna e Piracicaba/SP,4,30,0,Sim,1º,,0,
GEOLOGIA,Mapeamento Geológico de Áreas Sedimentares,"Geologia - 4º ano","José Alexandre de Jesus Perinotto, Lucas Veríssimo Warren, Sergio Caetano Filho, Norberto Morales, Deniro (PAADES)",24/04,07:00,24/04,18:00,1 kombi e 1 van,Ipeúna e Piracicaba/SP,Ipeúna e Piracicaba/SP,4,30,0,Sim,1º,,0,
GEOLOGIA,Geologia Estrutural,"Geologia - 3º ano",George Luiz Luvizotto,24/04,07:00,24/04,19:00,ônibus,Ipeúna e Campinas/SP,Ipeúna e Campinas/SP,1,35,0,Sim,1º,,0,
GEOLOGIA,Mapeamento Geológico de Áreas Sedimentares,"Geologia - 4º ano","Norberto Morales, Reinaldo Jose Bertini, Cesar Augusto Moreira, Sergio Caetano Filho, Deniro (PAADES)",25/04,07:00,25/04,18:00,1 kombi e 1 van,Ipeúna e Piracicaba/SP,Ipeúna e Piracicaba/SP,4,10,0,Sim,1º,,1,
GEOLOGIA,Sedimentologia,"Geologia - 2º ano",Lucas Veríssimo Warren,07/05,08:00,07/05,16:00,ônibus,Itú/SP,Itú/SP,1,35,0,Sim,1º,,0,
GEOLOGIA,Geologia Histórica,"Geologia - 4º ano",Reinaldo Jose Bertini,09/05,07:00,09/05,18:00,ônibus,"Charqueada, Laranjal Paulista/SP","Charqueada, Laranjal Paulista/SP",1,35,0,Sim,1º,,1,
GEOLOGIA,Petrologia Magmática,"Geologia - 2º ano","Antonio Misson Godoy, Regiane Andrade Fumes",11/05,06:00,11/05,19:00,ônibus,Poços de Caldas/MG,Poços de Caldas/MG,2,35,0,Sim,1º,,0,
GEOLOGIA,Geologia Ambiental ,"Geologia - 5º ano","José Eduardo Zaine, Matheus Lisboa Nobre da Silva",11/05,08:00,11/05,18:00,ônibus,Região de Rio Claro/SP,Região de Rio Claro/SP,2,35,0,Sim,1º,,0,
,Geologia do Petróleo,"Geologia - 5º ano","Sergio Caetano Filho, Giancarlo Scardia",12/05,08:00,12/05,18:00,onibus,Região de Rio Claro/SP,Região de Rio Claro/SP,2,35,0,Sim,1º,,0,
GEOLOGIA,Geologia de Engenharia,"Geologia - 4º e 5º anos","Lucas Moreira Furlan, Matheus Lisboa Nobre da Silva",13/05,06:00,13/05,17:00,ônibus,São Paulo/SP,São Paulo/SP,2,35,0,Sim,1º,,0,
,Geologia Geral I,Geologia - 1º ano,Rosemarie Rohn,16/05,07:00,16/05,19:00,ônibus,Ribeirão Preto/SP,Escola de Enfermagem - USP,1,35,0,Sim,1º,,1,Cancelar
,Paleobiologia,CBN,?,16/05,,16/05,,ônibus,,Rio Claro e Piracicaba/SP,,40,,,1º,,1,
,Geologia,CBI,?,23/05,,23/05,,ônibus,,Rio Claro e Piracicaba/SP,,40,,,1º,,1,
,Grupo PET Geologia - Pesquisa coletiva,Geologia - diversos anos,Rosemarie Rohn,23/05,07:00,23/05,18:00,micro-ônibus ou van,A definir,Região do Geoparque Corumbataí,1,20,0,Sim,1º,,1,
GEOLOGIA,Geologia Econômica,"Geologia - 4º ano",Washington Barbosa Leite Junior,27/05,06:00,29/05,19:00,micro-ônibus,"Pratápolis, Piumhi e Itapecerica/MG","Pratápolis, Piumhi e Itapecerica/MG",1,35,0,Sim,1º,"V#247116;
 (incluir Isabela, monitora da Alexsandra)",0,
GEOLOGIA,Beneficiamento de Minérios + Lavra de Minas e Operações Mineiras,"Geologia - 5º ano",Rodrigo Prudente de Melo,28/05,07:00,28/05,13:00,ônibus,Poços de Caldas/MG,Poços de Caldas/MG,1,35,0,Sim,1º,,0,
GEOLOGIA,Geologia,Geografia Integral,Giancarlo Scardia,29/05,07:00,29/05,18:00,ônibus,"Itu, Salto, Porto Feliz","Itu, Salto, Porto Feliz",1,35,0,Sim,1º,,0,
,Geologia,CBI,Rosemarie Rohn,29/05,07:30,29/05,19:00,ônibus,,"Rio Claro, Piracicaba, Itu, Salto",,40,,,1º,,0,
GEOLOGIA,Petrologia Magmática,"Geologia - 2º ano","Antonio Misson Godoy, Regiane Andrade Fumes",01/06,06:00,02/06,18:00,micro-ônibus,Bragança Paulista/SP,Bragança Paulista/SP,2,35,0,Sim,1º,,0,
GEOLOGIA,Geologia Estrutural,"Geologia - 3º ano","George Luiz Luvizotto, Rodrigo Irineu Cerri",09/06,06:00,12/06,19:00,micro-ônbius + van,Passos/MG,Passos/MG,2,35,0,Sim,1º,,0,
GEOLOGIA,Geologia de Engenharia,"Geologia - 4º e 5º anos","Lucas Moreira Furlan, Matheus Lisboa Nobre da Silva",10/06,07:00,10/06,17:00,ônibus,Piracicaba/SP,Piracicaba/SP,2,35,0,Sim,1º,,0,
GEOLOGIA,Sedimentologia,"Geologia - 2º ano",Lucas Veríssimo Warren,11/06,08:00,11/06,17:00,ônibus,Ipeúna/SP,Ipeúna/SP,1,35,0,Sim,1º,,0,
GEOLOGIA,Beneficiamento de Minérios + Lavra de Minas e Operações Mineiras,"Geologia - 5º ano",Rodrigo Prudente de Melo,11/06,07:00,12/06,18:00,micro-ônibus,"Descalvado/SP, Araxá/MG","Descalvado/SP, Araxá/MG",1,35,0,Sim,1º,,0,
GEOLOGIA,Geologia,Geografia Integral,Giancarlo Scardia,12/06,08:00,12/06,18:00,ônibus,"Assistencia, Piracicaba, Anhembi, São Pedro/SP","Assistencia, Piracicaba, Anhembi, São Pedro/SP",1,35,0,Sim,1º,,0,
GEOLOGIA,Geologia Histórica,"Geologia - 4º ano",Reinaldo Jose Bertini,13/06,07:30,13/06,18:30,ônibus,Taubaté/SP,Taubaté/SP,1,35,0,Sim,1º,,1,
GEOLOGIA,Geologia,Geografia Noturno,"Dionisio Uendro Carlos, Lucas Moreira Furlan",13/06,07:00,13/06,15:00,ônibus,"Assistência, Itu e Salto /SP","Assistência, Itu e Salto /SP",2,35,0,Sim,1º,,1,
GEOLOGIA,Geologia Geral I,"Geologia - 1º ano",Rosemarie Rohn,15/06,07:30,15/06,18:30,ônibus,"Região de Rio Claro, Ipeúna, Charqueada e São Pedro/SP","Região de Rio Claro, Ipeúna, Charqueada e São Pedro/SP",1,35,0,Sim,1º,,0,
GEOLOGIA,Evolução de Biotas e Ambientes Continentais,Pós-Graduação em Geociências e Meio Ambiente,Reinaldo Jose Bertini,27/06,07:30,27/06,18:30,van,Taubaté/SP,Taubaté/SP,1,5,0,Sim,1º,,1,
GEOLOGIA,Grupo PET Geologia - Trabalho de campo com os ingressantes,"Geologia  - 1º ano + PET",Rosemarie Rohn,29/07,06:00,31/07,20:00,ônibus,Apiaí/SP,PETAR - Parque Estadual Turístico do Alto Ribeira,2,42,0,Sim,2º,,0,
GEOLOGIA,Pedologia + Mecânica de Solos e Rochas,"Geologia - 3º ano","Vania Silvia Rosolen, Rodrigo Irineu Cerri",19/08,07:00,19/08,13:00,ônibus + van,"Ipeúna, Charqueada, Paraisolândia/SP","Ipeúna, Charqueada, Paraisolândia/SP",2,35,1,Sim,2º,,0,
GEOLOGIA,Geologia Geral II,"Geologia - 1º ano",José Alexandre de Jesus Perinotto,21/08,07:00,21/08,18:00,ônibus,Assistência e Itu/SP,Assistência e Itu/SP,1,35,0,Sim,2º,,0,
GEOLOGIA,Mapeamento Geológico de Áreas Cristalinas,"Geologia - 4º ano","George Luiz Luvizotto, Regiane Andrade Fumes (???), Rodrigo Irineu Cerri e Rodrigo Prudente de Melo, Antonio Misson Godoy",25/08,06:00,04/09,18:30,3 kombis + 1 caminhonete,Passos/MG,Passos/MG,4,35,0,Sim,2º,,0,
GEOLOGIA,Paleontologia Geral e Aplicada,"Geologia - 2º ano",Rosemarie Rohn,27/08,07:30,27/08,18:00,ônibus,Rio Claro/SP,Rio Claro/SP,1,35,0,Sim,2º,,0,
,Grupo PET Geologia - Atividade Cultural,Geologia - diversos anos,Rosemarie Rohn,29/08,09:00,29/08,20:00,ônibus,Monte Alto,Monte Alto,2,42,0,Sim,2º,,1,
GEOLOGIA,Paleontologia Geral e Aplicada + Técnicas Paleontológicas Aplicadas a Macroinvertebrados e Macrofitofósseis,"Geologia - 2º ano e Pós-Graduação em Geociências e Meio Ambiente",Rosemarie Rohn,10/09,06:00,12/09,19:00,ônibus,"Jaguariaíva, Curiúva, Figueira/PR e Taguaí/SP","Jaguariaíva, Curiúva, Figueira/PR e Taguaí/SP",1,35,0,Sim,2º,,0,
GEOLOGIA,Geologia de Campo I,"Geologia - 2º ano","Matheus Lisboa Nobre da Silva, Regiane Andrade Fumes, Washington Barbosa Leite Junior",11/09,14:00,11/09,18:00,ônibus,Ipeúna/SP,Ipeúna/SP,3,35,0,Sim,2º,,0,
,Paleobiologia,CBI,?,12/09,,12/09,,ônibus,,Rio Claro e Piracicaba/SP,,40,,,2º,,1,
,Geologia,CBN,?,19/09,,19/09,,ônibus,,Rio Claro e Piracicaba/SP,,40,,,2º,,1,
GEOLOGIA,Aspectos Geológicos sobre Evolução e Paleobiologia de Vertebrados (Optativa),"Geologia - 4º e 5º anos",Reinaldo Jose Bertini,19/09,07:00,20/09,18:00,van,"Brotas, Flórida Paulista, Marília/SP","Brotas, Flórida Paulista, Marília/SP",1,5,0,Sim,2º,,1,
GEOLOGIA,Petrologia Metamórfica,"Geologia - 2º ano","Antonio Misson Godoy, Regiane Andrade Fumes",22/09,06:30,22/09,18:00,ônibus,São Roque/SP,São Roque/SP,2,35,0,Sim,2º,,0,
GEOLOGIA,Fotogeologia e Sensoriamento Remoto,"Geologia - 3º ano","José Eduardo Zaine, Lucas Moreira Furlan",22/09,07:00,22/09,18:00,ônibus,Ipeúna e Itirapina/SP,Ipeúna e Itirapina/SP,2,35,0,Sim,2º,,0,
,Geologia de Campo I,"Geologia - 2º ano","Matheus Lisboa Nobre da Silva, Regiane Andrade Fumes, Washington Barbosa Leite Junior",25/09,07:00,25/09,18:00,ônibus,Corumbataí/SP,Corumbataí/SP,3,35,0,Sim,2º,,0,
GEOLOGIA,Petrologia Metamórfica,"Geologia - 2º ano","Antonio Misson Godoy, Regiane Andrade Fumes",05/10,06:00,05/10,18:00,ônibus,Amparo/SP,Amparo/SP,2,35,0,Sim,2º,,0,
GEOLOGIA,Estratigrafia,"Geologia - 3º ano","Giancarlo Scardia, José Alexandre de Jesus Perinotto",05/10,07:00,09/10,18:00,micro-ônibus,"Ibaiti, Jaguariaíva, Sapopema/PR","Ibaiti, Jaguariaíva, Sapopema/PR",2,35,0,Sim,2º,,0,
GEOLOGIA,Petrologia Sedimentar ,"Geologia - 2º ano","Lucas Veríssimo Warren, Sergio Caetano Filho",07/10,08:00,07/10,16:00,ônibus,Santa Rosa de Viterbo/SP,Santa Rosa de Viterbo/SP,2,35,0,Sim,2º,,0,
GEOLOGIA,Geologia de Campo II,"Geologia - 3º ano","George Luiz Luvizotto, José Eduardo Zaine, Rodrigo Prudente de Melo",13/10,07:00,16/10,18:00,micro-ônibus + kombi,Ibirací/MG,Represa Peixoto,3,35,0,Sim,2º,,0,
GEOLOGIA,Geologia de Campo I,"Geologia - 2º ano","Washington Barbosa Leite Junior, Matheus Lisboa Nobre da Silva, Regiane Andrade Fumes",23/10,07:00,23/10,18:00,"1 micro-ônibus, 2 kombis",Mogi Mirim/SP,Mogi Mirim/SP,3,35,0,Sim,2º,,0,
GEOLOGIA,Petrologia Metamórfica,"Geologia - 2º ano","Antonio Misson Godoy, Regiane Andrade Fumes",26/10,06:00,27/10,19:00,ônibus,Passos/MG,Passos/MG,2,35,0,Sim,2º,,0,Aguardando alteração
GEOLOGIA,Estratigrafia,"Geologia - 3º ano",Giancarlo Scardia,05/11,08:00,05/11,18:00,micro-ônibus,Araraquara/SP,CPRM,1,35,0,Sim,2º,,0,
GEOLOGIA,Geotectônica,"Geologia - 3º ano","George Luiz Luvizotto, Regiane Andrade Fumes",05/11,06:00,05/11,19:00,ônibus,Pirapora do Bom Jesus/SP,Pirapora do Bom Jesus/SP,2,35,0,Sim,2º,,0,
GEOLOGIA,Geologia Geral II,"Geologia - 1º ano","Giancarlo Scardia, José Alexandre de Jesus Perinotto",06/11,07:00,06/11,19:00,ônibus,Pico do Jaraguá e Vila Perus/SP,Pico do Jaraguá e Vila Perus/SP,2,35,0,Sim,2º,,0,
GEOLOGIA,Aspectos Geológicos sobre Evolução e Paleobiologia de Vertebrados (Optativa),"Geologia - 4º e 5º anos",Reinaldo Jose Bertini,07/11,08:00,07/11,18:00,van,Taubaté/SP,Taubaté/SP,1,5,0,Sim,2º,,1,
GEOLOGIA,Fotogeologia e Sensoriamento Remoto,"Geologia - 3º ano",Lucas Moreira Furlan,10/11,07:00,10/11,17:00,ônibus,São José dos Campos/SP,Instituto Nacional de Pesquisas Espaciais - INPE,1,35,0,Sim,2º,,0,
GEOLOGIA,Geologia do Brasil,"Geologia - 4º ano",Lucas Veríssimo Warren,11/11,08:00,14/11,17:00,micro-ônibus,Apiaí e Itapeva/SP e Tibagi/PR,Apiaí e Itapeva/SP e Tibagi/PR,1,35,0,Sim,2º,,0,
,Geologia,Ecologia,Matheus Lisboa Nobre da Silva,13/11,,13/11,,ônibus,Rio Claro e Ipeúna,,1,35,,Sim,2º,,0,
GEOLOGIA,Geologia Geral II,"Geologia - 1º ano","Giancarlo Scardia, José Alexandre de Jesus Perinotto",13/11,07:00,13/11,18:00,ônibus,Atibaia e Campinas/SP,Atibaia e Campinas/SP,2,35,0,Sim,2º,,0,
GEOLOGIA,Mecânica de Solos e Rochas,"Geologia - 3º ano",Rodrigo Irineu Cerri,16/11,08:00,16/11,13:00,ônibus,São Pedro/SP,São Pedro/SP,1,35,0,Sim,2º,,0,
GEOLOGIA,"APAGAR <<--------------","Geologia - 3º ano",Giancarlo Scardia,23/03,08:00,27/03,13:00,ônibus,São Pedro/SP,São Pedro/SP,1,35,0,Sim,2º,,0,