"Documentos","Turma","Disciplina","C.H.","Depto","Cursos - Ano/Sem. - Prioridade","Vagas por Curso","Vagas Calouro Veterano","","Matriculados","Atendidas","Pendentes Prioritárias Sujeitas Aprovação","","Não atendidas Prioritárias Sujeitas Aprovação","","Aprovados","Reprovados","Ausência Remota","Docente(s)","Horário","Modo de Oferta","Tipo de Oferta","Periodicidade","Brave"
"","BGA000615-GEOLOGIA","Química Geral I","60.0","DBGA","1323E - 1/1 - Obrigatória - Integral","1323E - /","35","100","34","0","0","0","0","0","0","0","0","Ederio Dino Bidoia","Sexta: 08:00-12:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","EMA986915-GEOLOGIA","Estatística e Probabilidade","60.0","EMA","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","33","0","0","0","0","0","0","0","0","","Quarta: 08:00-12:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","EMA986915-GEOLOGIA","Estatística e Probabilidade","60.0","EMA","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","33","0","0","0","0","0","0","0","0","","Quarta: 08:00-12:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","EMA987015-GEOLOGIA","Cálculo Numérico","60.0","EMA","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","34","0","0","0","0","0","0","0","0","Maria Helena Moreira Morais","Sexta: 14:00-18:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","EMA987015-GEOLOGIA","Cálculo Numérico","60.0","EMA","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","34","0","0","0","0","0","0","0","0","Maria Helena Moreira Morais","Sexta: 14:00-18:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","FSI221615-FÍSICA","Mecânica dos Fluídos - Optativa","60.0","FSI","1019C - 9/ - Optativa - Integral 1015C - / - Optativa - Integral 1023L - 10/ - Optativa - Integral 1023B - 10/ - Optativa - Integral 1317E - Equivalente","1019C - / 1015C - / 1023L - / 1023B - / 1317E - /5","0","100","27","0","0","0","0","0","0","0","0","Everton Santos Medeiros","Quarta: 14:00-18:00 (G4S3)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","FSI226415-GEOLOGIA","Física I","60.0","FSI","1323E - 1/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","35","65","37","0","0","0","0","0","0","0","0","Valdeci Pereira Mariano de Souza Samuel Martignago Soares","Quarta: 08:00-12:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","FSI226415-GEOLOGIA","Física I","60.0","FSI","1323E - 1/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","35","65","37","0","0","0","0","0","0","0","0","Valdeci Pereira Mariano de Souza Samuel Martignago Soares","Quarta: 08:00-12:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","FSI230315-GEOLOGIA","Mecânica de Fluidos","60.0","FSI","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","38","0","0","1","0","0","0","0","0","Everton Santos Medeiros","Sexta: 08:00-12:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","FSI230315-GEOLOGIA","Mecânica de Fluidos","60.0","FSI","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","38","0","0","1","0","0","0","0","0","Everton Santos Medeiros","Sexta: 08:00-12:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GAP233115A-GEOLOGIA","Trabalho de Conclusão de Curso I","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","14","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro Matheus Lisboa Nobre da Silva","Sábado: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GAP233215B-GEOLOGIA","Trabalho de Conclusão de Curso II","60.0","DG","1317E - 5/2 - Obrigatória - Integral","1317E - /","0","100","15","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro Matheus Lisboa Nobre da Silva","Sábado: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA232315-ENG.AMB.","Qualidade Ambiental","60.0","DEA","0903ES - 5/1 - Obrigatória - Integral 1317E - Equivalente","0903ES - / 1317E - /15","0","100","24","0","0","0","0","0","0","0","0","Marcus Cesar Avezum Alves de Castro","Quarta: 14:00-18:00 (G2S5)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA232815-ENG.AMB.","Recuperação de Áreas Degradadas","120.0","DEA","0903ES - 5/1 - Obrigatória - Integral 1317E - Equivalente","0903ES - / 1317E - /15","0","100","18","0","0","1","0","0","0","0","0","","Segunda: 08:00-12:00 (G2S5) Terça: 14:00-18:00 (G2S5)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA244915-GEOLOGIA","Geofísica II","60.0","DG","1317E - 3/2 - Obrigatória - Integral","1317E - /","0","100","7","0","0","1","0","0","0","0","0","Cesar Augusto Moreira Dionisio Uendro Carlos","Quarta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA246315-GEOLOGIA","Geologia do Petróleo","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","19","0","0","0","0","0","0","0","0","Giancarlo Scardia Sergio Caetano Filho João Carlos Cerqueira","Terça: 08:00-12:00 (G1S6)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA246415-GEOLOGIA","Geologia de Engenharia","60.0","DG","1323E - Equivalente 1317E - 5/1 - Obrigatória - Integral 0903ES - Equivalente 0923E - Equivalente","1323E - / 1317E - / 0903ES - /15 0923E - /5","0","100","44","0","0","0","0","0","0","0","0","Lucas Moreira Furlan Matheus Lisboa Nobre da Silva","Quarta: 08:00-12:00 (G1S6)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA246415-GEOLOGIA","Geologia de Engenharia","60.0","DG","1323E - Equivalente 1317E - 5/1 - Obrigatória - Integral 0903ES - Equivalente 0923E - Equivalente","1323E - / 1317E - / 0903ES - /15 0923E - /5","0","100","44","0","0","0","0","0","0","0","0","Lucas Moreira Furlan Matheus Lisboa Nobre da Silva","Quarta: 08:00-12:00 (G1S6)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA246515-GEOLOGIA","Lavra de Minas e Operações Mineiras","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","18","0","1","0","0","0","0","0","0","Rodrigo Prudente de Melo Otavio Passo Vieira","Sexta: 08:00-12:00 (G1S6)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA246615-GEOLOGIA","Beneficiamento de Minérios","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","36","19","0","0","0","0","0","0","0","0","Rodrigo Prudente de Melo","Quinta: 08:00-12:00 (G1S6)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEA246715-GEOLOGIA","Geologia Ambiental","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","19","0","0","0","0","0","0","0","0","José Eduardo Zaine Matheus Lisboa Nobre da Silva","Segunda: 14:00-18:00 (G1S6)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL000115-GEOLOGIA","Estudos das Suítes dos Depósitos Minerais - optativa","60.0","DG","1317E - / - Optativa - Integral","1317E - /","0","21","6","0","0","0","0","0","0","0","0","Washington Barbosa Leite Junior","Quarta: 08:00-12:00 (G1S3)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL000615-GEOLOGIA","Geologia Geral I","90.0","DG","1317E - Equivalente 1323E - 1/1 - Obrigatória - Integral","1317E - / 1323E - /","35","65","38","0","0","0","0","0","0","0","0","Regiane Andrade Fumes Rosemarie Rohn Giúlia Raphaela de Morais","Segunda: 08:00-12:00 (G1S1) Terça: 10:00-12:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL000615-GEOLOGIA","Geologia Geral I","90.0","DG","1317E - Equivalente 1323E - 1/1 - Obrigatória - Integral","1317E - / 1323E - /","35","65","38","0","0","0","0","0","0","0","0","Regiane Andrade Fumes Rosemarie Rohn Giúlia Raphaela de Morais","Segunda: 08:00-12:00 (G1S1) Terça: 10:00-12:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL000715-GEOLOGIA","Mineralogia Geral","60.0","DG","1323E - 1/1 - Obrigatória - Integral","1323E - /","35","65","51","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro","Terça: 14:00-18:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL000815A-GEOLOGIA","Mineralogia Ótica","60.0","DG","1323E - 1/1 - Obrigatória - Integral","1323E - /","17","83","23","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro","Quinta: 08:00-12:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL000815B-GEOLOGIA","Mineralogia Ótica","60.0","DG","1323E - 1/1 - Obrigatória - Integral","1323E - /","18","82","20","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro","Sexta: 14:00-18:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL004015-GEOLOGIA","Petrologia Magmática","120.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","52","0","0","0","0","0","0","0","0","Antonio Misson Godoy Regiane Andrade Fumes","Terça: 08:00-12:00 (G1S2) Segunda: 14:00-18:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL004015-GEOLOGIA","Petrologia Magmática","120.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","52","0","0","0","0","0","0","0","0","Antonio Misson Godoy Regiane Andrade Fumes","Terça: 08:00-12:00 (G1S2) Segunda: 14:00-18:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL004115-GEOLOGIA","Sedimentologia","60.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","39","0","0","0","0","0","0","0","0","Lucas Veríssimo Warren Leandro Gustavo da Silva Albino","Quinta: 08:00-12:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL004115-GEOLOGIA","Sedimentologia","60.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","39","0","0","0","0","0","0","0","0","Lucas Veríssimo Warren Leandro Gustavo da Silva Albino","Quinta: 08:00-12:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL004215-GEOLOGIA","Geometria Descritiva","60.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","37","0","0","0","0","0","0","0","0","George Luiz Luvizotto Rodrigo Irineu Cerri José Guilherme Filgueira da Silva","Terça: 14:00-18:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL004215-GEOLOGIA","Geometria Descritiva","60.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","37","0","0","0","0","0","0","0","0","George Luiz Luvizotto Rodrigo Irineu Cerri José Guilherme Filgueira da Silva","Terça: 14:00-18:00 (G1S2)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL004915-GEOLOGIA","Geoquímica","90.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","22","0","0","1","0","0","0","0","0","Sergio Caetano Filho Mateus Fagundes Cagnin","Quarta: 08:00-12:00 (G1S4) Segunda: 10:00-12:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL004915-GEOLOGIA","Geoquímica","90.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","22","0","0","1","0","0","0","0","0","Sergio Caetano Filho Mateus Fagundes Cagnin","Quarta: 08:00-12:00 (G1S4) Segunda: 10:00-12:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL005015-GEOLOGIA","Geofísica","90.0","DG","0923E - Equivalente 0903ES - Equivalente 1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","0923E - /15 0903ES - /15 1323E - / 1317E - /","0","100","24","0","0","1","0","0","0","0","0","Dionisio Uendro Carlos","Segunda: 14:00-18:00 (G1S4) Quinta: 08:00-10:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL005015-GEOLOGIA","Geofísica","90.0","DG","0923E - Equivalente 0903ES - Equivalente 1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","0923E - /15 0903ES - /15 1323E - / 1317E - /","0","100","24","0","0","1","0","0","0","0","0","Dionisio Uendro Carlos","Segunda: 14:00-18:00 (G1S4) Quinta: 08:00-10:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL005115-GEOLOGIA","Geologia Estrutural","120.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","39","0","0","0","0","0","0","0","0","George Luiz Luvizotto Rodrigo Irineu Cerri Isabella Maria Wonsik Dalbelo","Sexta: 08:00-12:00 (G1S4) Quinta: 14:00-18:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL005115-GEOLOGIA","Geologia Estrutural","120.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","39","0","0","0","0","0","0","0","0","George Luiz Luvizotto Rodrigo Irineu Cerri Isabella Maria Wonsik Dalbelo","Sexta: 08:00-12:00 (G1S4) Quinta: 14:00-18:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL005215-GEOLOGIA","Geoprocessamento e Cartografia Geológica","60.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","20","0","0","0","0","0","0","0","0","Lucas Moreira Furlan Isabela Tomazela Franzini","Terça: 14:00-18:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL005215-GEOLOGIA","Geoprocessamento e Cartografia Geológica","60.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","20","0","0","0","0","0","0","0","0","Lucas Moreira Furlan Isabela Tomazela Franzini","Terça: 14:00-18:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL005915-GEOLOGIA","Geologia Econômica","90.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","28","0","0","0","0","0","0","0","0","Rodrigo Prudente de Melo Washington Barbosa Leite Junior","Terça: 08:00-12:00 (G1S3) Segunda: 14:00-16:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL005915-GEOLOGIA","Geologia Econômica","90.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","28","0","0","0","0","0","0","0","0","Rodrigo Prudente de Melo Washington Barbosa Leite Junior","Terça: 08:00-12:00 (G1S3) Segunda: 14:00-16:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL006015-GEOLOGIA","Prospecção e Pesquisa Mineral","90.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","36","0","0","0","0","0","0","0","0","Cesar Augusto Moreira","Segunda: 08:00-10:00 (G1S3) Terça: 14:00-18:00 (G1S3)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL006015-GEOLOGIA","Prospecção e Pesquisa Mineral","90.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","36","0","0","0","0","0","0","0","0","Cesar Augusto Moreira","Segunda: 08:00-10:00 (G1S3) Terça: 14:00-18:00 (G1S3)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL006115-GEOLOGIA","Hidrologia","60.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","40","0","0","0","0","0","0","0","0","Chang Hung Kiang Caio Marques Manára","Quinta: 08:00-12:00 (G1S3)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL006115-GEOLOGIA","Hidrologia","60.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","40","0","0","0","0","0","0","0","0","Chang Hung Kiang Caio Marques Manára","Quinta: 08:00-12:00 (G1S3)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL006215-GEOLOGIA","Geologia Histórica","60.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","30","0","0","0","0","0","0","0","0","Reinaldo Jose Bertini","Sexta: 14:00-18:00 (G1S3)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL006215-GEOLOGIA","Geologia Histórica","60.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","30","0","0","0","0","0","0","0","0","Reinaldo Jose Bertini","Sexta: 14:00-18:00 (G1S3)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL006315-GEOLOGIA","Mapeamento Geológico de Áreas Sedimentares","120.0","DG","1323E - 4/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","32","0","0","0","0","0","0","0","0","José Eduardo Zaine Lucas Veríssimo Warrenc","Sábado: 08:00-12:00 Quinta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GEL007515-GEOLOGIA","Exo-Geologia - optativa","60.0","DG","1317E - 4/1 - Optativa - Integral","1317E - /","0","15","9","0","0","0","0","0","0","0","0","Reinaldo Jose Bertini","Quinta: 14:00-18:00 (G1S6)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA000915-GEOG-INT","Fundamentos de Climatologia","60.0","DGPA","1215C - N - Equivalente 1223C - I - 1/1 - Obrigatória - Integral 1223C - N - Equivalente 1317E - Equivalente","1215C - N - /5 1223C - I - / 1223C - N - /5 1317E - /5","40","60","38","0","0","0","0","0","0","0","0","Karime Pechutti Fante","Quarta: 08:00-12:00 (G4S5)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA000915-GEOG-NOT","Fundamentos de Climatologia","60.0","DGPA","1223C - N - Equivalente 1215C - N - Equivalente 1223C - I - 1/1 - Obrigatória - Integral 1317E - Equivalente","1223C - N - / 1215C - N - / 1223C - I - /5 1317E - /5","40","60","38","0","0","0","0","0","0","0","0","Karime Pechutti Fante","Quarta: 19:00-23:00 (G4S5)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA003915-GEOG-INT","Geomorfologia","60.0","DGPA","1317E - Equivalente 1323E - Equivalente 1223C - I - 2/1 - Obrigatória - Integral 1215C - I - Equivalente 1223C - N - Equivalente 0903ES - Equivalente","1317E - /5 1323E - /5 1223C - I - / 1215C - I - / 1223C - N - /8 0903ES - /5","0","100","38","0","0","0","0","0","0","0","0","Cenira Maria Lupinacci","Terça: 08:00-12:00 (G4S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA003915-GEOG-INT","Geomorfologia","60.0","DGPA","1317E - Equivalente 1323E - Equivalente 1223C - I - 2/1 - Obrigatória - Integral 1215C - I - Equivalente 1223C - N - Equivalente 0903ES - Equivalente","1317E - /5 1323E - /5 1223C - I - / 1215C - I - / 1223C - N - /8 0903ES - /5","0","100","38","0","0","0","0","0","0","0","0","Cenira Maria Lupinacci","Terça: 08:00-12:00 (G4S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA003915-GEOG-NOT","Geomorfologia","60.0","DGPA","1317E - Equivalente 1323E - Equivalente 1223C - N - Equivalente 1223C - I - 2/1 - Obrigatória - Integral 1215C - I - Equivalente 0903ES - Equivalente","1317E - /5 1323E - /5 1223C - N - / 1223C - I - /5 1215C - I - /5 0903ES - /5","0","100","38","0","0","0","0","2","0","0","0","Melina Fushimi","Segunda: 19:00-23:00 (G4S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA003915-GEOG-NOT","Geomorfologia","60.0","DGPA","1317E - Equivalente 1323E - Equivalente 1223C - N - Equivalente 1223C - I - 2/1 - Obrigatória - Integral 1215C - I - Equivalente 0903ES - Equivalente","1317E - /5 1323E - /5 1223C - N - / 1223C - I - /5 1215C - I - /5 0903ES - /5","0","100","38","0","0","0","0","2","0","0","0","Melina Fushimi","Segunda: 19:00-23:00 (G4S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
